Team ID,Institution Name,Team Name,City,"1.1
Conceptual
design","1.2
Preliminary
Weight
Estimation","1.3
Thrust
Required
Estimation &
Propulsion
System
Selection","1.4
Aircraft Sizing
(Rotor Arm,
Hub,
Wheelbase,
Propeller
Clearance,
Landing gear)","1.5
Aircraft
Performance
(Power required
estimation,
Power System
(battery)
Selection,
Endurance
Estimation)","1.6
Material
Selection","1.7
Subsystem
Selection -Communication
system, Control &
Navigation System","1.8
C.G.
Calculation &
Stability
Analysis","1.9
Preliminary
Computer Aided
Design Model
(2D Drafting
Front view, Top
view and Side
View, 3D Model)","1.10
Optimized Final
Design
(Summary of
Design
Changes/
Optimizations
including the
Final CAD
model and 2D
Drafting & C.G.)","1.11
Detailed Weight
Breakdown,
Aircraft
Performance
Recalculation
(T/W, Power Req.
& Endurance
calc.), Final UAV
Specs and BOM","2.1
Computational
Analysis","3.1
Autonomous
Flight","3.2
Autonomous
Object
Detection and
Counting","3.3
Autonomous
Payload Drop","4.1
Innovation","Design
Report
Score
(Max 90)","Presentati
on Score
(Max 10)","Total
Score",Rank
AT2024070,"M E S WADIA COLLEGE OF ENGINEERING, PUNE",Team Aviate,Pune,3.75,3.0,3.75,9.25,9.75,3.0,4.75,4.5,4.75,4.5,7.75,4.75,3.75,4.75,3.75,8.5,84.25,8.5,92.75,1.0
AT2024081,Manipal Institute of Technology,AeroMIT,Manipal,3.75,2.75,4.0,8.75,8.5,3.0,4.25,4.5,4.75,4.5,7.75,4.75,4.0,5.0,4.0,8.75,83.0,9.07,92.07,2.0
AT2024082,BITS Pilani,Artemis,Goa,3.75,2.75,4.0,9.0,9.0,2.75,4.25,4.75,4.25,4.25,7.5,4.25,4.0,4.75,3.5,8.0,80.75,9.56,90.31,3.0
AT2024037,VIT Bhopal University,Aerial Eyes,Bhopal,3.5,2.75,3.75,9.25,8.75,2.5,4.5,4.75,4.75,5.0,7.75,4.75,3.25,3.75,3.5,8.5,81.0,8.75,89.75,4.0
AT2024065,Government College of Engineering Jalgaon,Team Third Axis,Jalgaon,3.5,2.75,3.5,9.0,8.75,2.75,4.25,4.25,5.0,4.5,7.5,4.75,3.5,4.5,3.75,9.25,81.5,7.08,88.58,5.0
AT2024001,Ajeenkya DY Patil University,UTKROSH,Pune,4.0,3.0,4.0,9.25,8.75,2.5,4.5,4.5,4.75,4.5,7.0,4.25,3.5,4.0,3.75,9.0,81.25,6.92,88.17,6.0
AT2024029,BMS College Of Engineering,Dronuts,Bengaluru,3.25,2.75,3.25,8.0,8.5,2.75,4.5,4.5,5.0,4.5,7.25,4.75,3.5,4.5,3.75,8.75,79.5,8.25,87.75,7.0
AT2024056,Chennai Institute Of Technology,Asunama,Chennai,3.5,2.75,3.25,7.5,9.0,2.75,4.0,4.75,4.0,4.5,7.5,4.5,3.5,4.25,3.5,9.5,78.75,8.5,87.25,8.0
AT2024069,PANDIT DEENDAYAL ENERGY UNIVERSITY,ATLAS,Gandhinagar,3.75,2.75,3.5,9.25,9.75,2.5,4.25,4.25,4.5,4.5,7.25,4.75,3.0,4.25,3.25,7.75,79.25,7.5,86.75,9.0
AT2024006,Indian Institute of Technology Jammu,Aviation Acrobats,Jammu,3.25,2.75,3.5,8.75,7.5,2.75,4.5,4.75,4.25,4.25,7.75,4.5,3.75,4.5,3.75,8.75,79.25,6.96,86.21,10.0
AT2024005,M. S. Ramaiah University of Applied Sciences,Aeronyx (Your Team),Bengaluru,2.75,2.25,3.0,7.25,7.0,2.75,4.0,3.25,4.5,3.75,6.75,3.5,3.5,4.0,3.75,7.0,69.0,7.92,76.92,50.0
